longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.14203|-8.5913|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1070.553||695.86|10.38|7.65|1.822||105.863|123.142|108.957|0.77|6.078||258.131|||
35.13205|-8.59012|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|949.284||464.704|10.15|11.27|2.186||66.247|255.398|146.692|0.99|5.798||339.502|||
35.17618|-8.58839|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1202.621||157.377|11.07|10.05|2.393||63.764|82.295|55.941|0.62|5.46||107.967|||
35.16214|-8.58749|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1449.677||162.568|14.91|13.79|0.916||51.273|80.485|46.124|0.94|5.155||102.672|||
35.44734|-8.58748|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1224.751||775.187|25.76|25.35|0.945||77.303|106.583|70.109|1.49|5.636||139.407|||
35.4571|-8.58716|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1342.962||787.61|31.09|33.0|1.052||81.045|99.072|57.846|2.12|5.255||82.719|||
35.61065|-8.58683|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1780.451||458.971|36.04|38.59|1.485||96.682|102.179|12.919|2.88|4.793||93.8|||
35.60989|-8.58675|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1894.801||625.154|42.98|45.36|1.38||81.892|152.481|56.299|2.87|5.038||112.481|||
35.63458|-8.58673|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1751.981||725.135|38.42|40.2|1.201||99.613|115.977|52.837|2.79|5.021||102.023|||
35.63247|-8.58667|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1091.63||786.656|26.86|27.3|3.461||133.754|252.938|255.371|1.86|5.406||197.541|||
35.45063|-8.58627|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1635.931||651.585|24.99|27.1|0.768||78.126|148.459|15.131|1.69|5.167||100.494|||
35.15763|-8.58567|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1383.5||106.475|10.55|11.25|1.13||62.741|86.715|41.51|0.63|5.327||75.195|||
35.15738|-8.58561|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|983.956||859.782|13.78|11.84|2.046||83.163|126.173|106.049|0.94|5.968||302.924|||
35.63507|-8.58548|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1505.05||944.569|38.54|35.69|1.695||162.381|180.318|62.932|3.0|5.097||302.922|||
35.63201|-8.58503|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1091.19||940.831|21.96|20.3|3.085||115.042|202.346|97.392|1.55|5.498||178.815|||
35.45772|-8.58373|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1079.09||1308.991|24.69|23.58|2.648||103.551|278.959|116.269|1.59|6.158||176.416|||
35.4515|-8.58358|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1472.381||657.454|31.24|29.5|1.003||71.266|104.728|63.979|1.86|5.252||129.313|||
35.16219|-8.58185|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1358.238||160.033|13.05|12.24|1.106||65.591|91.358|32.74|0.76|5.396||108.73|||
35.44966|-8.58159|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1156.845||1180.645|29.76|30.57|1.017||89.242|124.473|67.905|1.78|5.577||244.451|||
35.45769|-8.57993|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1486.225||849.577|29.97|31.54|1.283||75.653|181.29|100.154|2.08|5.265||98.713|||
35.46073|-8.57969|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1208.467||960.055|25.26|30.01|0.63||92.196|124.694|52.582|1.63|5.319||150.637|||
